Date = 2019-09-16 11:06:09 | Message = MirasyInterfaceService Initialise()
Date = 2019-09-16 11:06:15 | Message = MirasyInterfaceService Started Successfully
Date = 2019-09-16 11:06:15 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2019-09-16 11:06:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2019-09-16 11:06:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 
Date = 2019-09-16 11:06:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 1 Mirasys.Clients.Gateway.SDK.Core.SessionContext
Date = 2019-09-16 11:06:22 | Message = MirasysInterface getCamDeviceList() Start:
Date = 2019-09-16 11:06:30 | Message = MirasysInterface getCamDeviceList() Location name:  Camera 1
Date = 2019-09-16 11:06:55 | Message = MirasyInterfaceService Initialise()
Date = 2019-09-16 11:06:55 | Message = MirasyInterfaceService Started Successfully
Date = 2019-09-16 11:06:55 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2019-09-16 11:06:55 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2019-09-16 11:06:55 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 
Date = 2019-09-16 11:06:55 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 1 Mirasys.Clients.Gateway.SDK.Core.SessionContext
Date = 2019-09-16 11:07:00 | Message = MirasysInterface getCamDeviceList() Start:
Date = 2019-09-16 11:07:03 | Message = MirasysInterface getCamDeviceList() Location name:  Camera 1
Date = 2019-09-16 11:07:39 | Message = MirasyInterfaceService Initialise()
Date = 2019-09-16 11:07:40 | Message = MirasyInterfaceService Started Successfully
Date = 2019-09-16 11:07:40 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2019-09-16 11:07:40 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2019-09-16 11:07:40 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 
Date = 2019-09-16 11:07:40 | Message = MirasysVCAInterfaceService OnConnectionEvent(): Connected 1 Mirasys.Clients.Gateway.SDK.Core.SessionContext
