Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SAHITYA NAKA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAHITYA_NAKA TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAHITYA_NAKA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SHASTRI CHOWK KILA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SHASTRI_CHOWK_KILA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SHASTRI_CHOW_KILA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  GARWA GHAT TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GARWA_GHAT TOWARDS SAMNE GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GARWA_GHAT TOWARDS HARSEVANAND SCHOOL
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GARWA_GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  LBS TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LBS_TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LBS_TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SARANG CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SARANG_TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SARANG_TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  AKHTA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AKHTA_TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AKHTA_TIRAHA TOWARDS
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  BENIYABAGH TIRAHA
